t_index	term	df
1	0	45
2	00	3
3	000	267
4	0050	1
5	0092	1
6	01	1
7	018	1
8	02	3
9	02111	1
10	0392	1
11	06	1
12	072	3
13	08	2
14	0832	1
15	1	224
16	10	198
17	100	92
18	1000	1
19	10016	1
20	10017	1
21	10018	1
22	1008	1
23	101	5
24	10115	1
25	10116	1
26	103	3
27	104	1
28	105	5
29	105d	1
30	106th	1
31	107th	2
32	108	3
33	10th	13
34	11	88
35	110	2
36	111	1
37	113	1
38	116	8
39	117	2
40	118	44
41	119	1
42	1199	1
43	11th	8
44	12	186
45	120	9
46	1200	2
47	1206	1
48	122	1
49	124	2
50	1244	1
51	125	8
52	12501	1
53	126	2
54	128	1
55	12th	16
56	13	123
57	130	3
58	131	7
59	132	3
60	133	2
61	134	1
62	135	2
63	137	2
64	138	2
65	139	1
66	13th	10
67	14	69
68	140	11
69	141	6
70	143	2
71	145	1
72	146th	1
73	148	3
74	14th	3
75	15	105
76	150	42
77	151	2
78	152	1
79	153	3
80	155	2
81	15th	6
82	16	78
83	160	4
84	1600	1
85	162	3
86	163	1
87	1640	1
88	165	1
89	168	1
90	16th	3
91	17	202
92	170	3
93	17061	1
94	17090	1
95	174	1
96	175	1
97	176	5
98	177	1
99	178	2
100	1792	1
101	17th	1
102	18	80
103	180	2
104	1800	1
105	181	1
106	1819	1
107	182	2
108	1839	1
109	185	2
110	1869	1
111	187	1
112	1876	1
113	188	1
114	1881	1
115	1888	3
116	18th	2
117	19	78
118	190	6
119	1904	1
120	1906	1
121	1907	3
122	1909	1
123	1914	1
124	192	1
125	1920	2
126	1927	1
127	1928	5
128	193	1
129	1930	1
130	19303	1
131	1931	2
132	1932	2
133	1933	1
134	1937	1
135	1941	1
136	1944	1
137	1945	5
138	1947	2
139	1948	1
140	1950	12
141	1953	1
142	1954	4
143	1956	1
144	1957	2
145	196	2
146	1960	16
147	1961	4
148	1962	3
149	1963	2
150	1964	1
151	1965	1
152	1966	2
153	1967	16
154	1968	9
155	1969	12
156	1970	17
157	1971	1
158	1972	7
159	1973	6
160	1974	5
161	1975	22
162	1976	6
163	1977	10
164	1978	2
165	1979	4
166	1980	45
167	1981	11
168	1982	4
169	1983	20
170	1984	6
171	1985	18
172	1986	15
173	1987	11
174	1988	11
175	1989	17
176	1990	61
177	1991	27
178	1992	45
179	1993	37
180	1994	38
181	1995	48
182	1996	97
183	1997	39
184	1998	106
185	1999	64
186	19th	1
187	1d	1
188	1st	1
189	2	175
190	20	175
191	200	74
192	2000	28
193	2001	8
194	2002	12
195	2003	1
196	20036	1
197	2004	5
198	2005	3
199	2006	1
200	2008	1
201	201	1
202	2010	1
203	2015	1
204	202	1
205	203	4
206	2035	1
207	204	1
208	209	6
209	20904	1
210	20th	9
211	21	28
212	210	2
213	212	2
214	21203	1
215	21298	1
216	215	5
217	215000	1
218	216	3
219	2167	1
220	219	4
221	21st	4
222	22	70
223	220	2
224	222	8
225	223	2
226	22314	1
227	224	26
228	2247	1
229	225	3
230	22nd	5
231	23	65
232	230	3
233	231	1
234	232	4
235	23261	1
236	234	2
237	236	2
238	238	4
239	23rd	1
240	24	91
241	240	4
242	241	4
243	242	1
244	243	1
245	245	2
246	246	6
247	247	1
248	248	1
249	24th	8
250	25	88
251	250	8
252	2500	4
253	253	2
254	255	4
255	257	2
256	259	1
257	25th	6
258	26	29
259	264	1
260	26484	1
261	267	2
262	269	1
263	27	20
264	270	8
265	271	1
266	275	6
267	28	30
268	28000	1
269	283	2
270	2850	1
271	28th	1
272	29	37
273	292	1
274	293	6
275	295	1
276	2nd	3
277	3	155
278	30	148
279	300	46
280	30303	1
281	308	1
282	31	23
283	310	2
284	315	1
285	31521	1
286	316	2
287	317	1
288	31st	1
289	32	14
290	320	1
291	3202	1
292	325	1
293	327	2
294	33	43
295	330	3
296	333	1
297	335	6
298	33rd	1
299	34	24
300	340	1
301	346	1
302	3467	1
303	348	1
304	35	59
305	350	18
306	357	5
307	36	28
308	368	1
309	37	28
310	370	1
311	372	1
312	38	18
313	385	2
314	387	1
315	38th	2
316	39	67
317	392	1
318	3rd	9
319	4	128
320	40	129
321	400	33
322	403	3
323	40th	1
324	41	13
325	412	2
326	41st	1
327	42	19
328	421	2
329	424	1
330	426	1
331	43	9
332	431	1
333	435	3
334	43rd	7
335	44	18
336	440	6
337	444	1
338	45	37
339	450	1
340	4500	1
341	456	2
342	46	29
343	466	1
344	47	17
345	473	2
346	475	2
347	4767	1
348	48	25
349	480	1
350	48th	1
351	49	6
352	49560	1
353	498	2
354	499	1
355	5	155
356	50	103
357	500	72
358	5000	2
359	5022	1
360	505	12
361	51	25
362	519	1
363	51st	2
364	52	19
365	521	1
366	52nd	1
367	53	14
368	535	1
369	538	6
370	539	1
371	54	46
372	543	2
373	5433	1
374	54th	1
375	55	23
376	550	2
377	5528	1
378	554	1
379	556	1
380	557	2
381	56	21
382	565	1
383	57	4
384	574	3
385	58	33
386	580	1
387	583	2
388	584	1
389	59	17
390	591	1
391	595	1
392	5th	24
393	6	143
394	60	51
395	600	35
396	6000	2
397	600th	1
398	60189	1
399	609	2
400	61	7
401	615	1
402	62	29
403	620	1
404	622	1
405	627	1
406	63	7
407	64	9
408	646	5
409	648	1
410	65	21
411	650	3
412	651	2
413	653	1
414	6533	1
415	66	18
416	660	1
417	67	5
418	672	1
419	675	3
420	677	1
421	678	1
422	68	8
423	680	1
424	682	1
425	683	4
426	683rd	1
427	684	1
428	687	1
429	69	3
430	692	3
431	693	2
432	6th	1
433	7	174
434	70	31
435	700	12
436	7000	1
437	701	1
438	70200	1
439	703	1
440	7090	1
441	71	1
442	710	2
443	711	1
444	7146	1
445	72	8
446	7255	1
447	726	2
448	736	1
449	74	5
450	740	1
451	747	1
452	75	14
453	750	6
454	752	1
455	755	1
456	7575	2
457	76	2
458	762	1
459	77	5
460	7729	1
461	776	1
462	777	1
463	7777	1
464	78	10
465	780	2
466	784	1
467	79	16
468	7th	2
469	8	127
470	80	28
471	800	18
472	8000	1
473	805	1
474	81	7
475	815	1
476	83	3
477	832	1
478	8320	1
479	834	2
480	84	1
481	846	1
482	85	3
483	850	2
484	85260	1
485	8550	1
486	857	1
487	8583	1
488	86	1
489	86th	2
490	87	1
491	870	1
492	878	2
493	885	1
494	888	2
495	889	1
496	8th	5
497	9	86
498	90	31
499	900	1
500	90069	1
501	903	1
502	91	3
503	911	5
504	918	1
505	92	3
506	925	1
507	927	2
508	92nd	1
509	93	8
510	930	2
511	93117	1
512	94	2
513	947	1
514	95	7
515	96	5
516	964	2
517	968	1
518	97	5
519	98	4
520	98133	1
521	9832	1
522	98481	1
523	9867	1
524	989	1
525	99	13
526	991	1
527	992	4
528	9th	3
529	aan	1
530	aaron	2
531	ab	1
532	aback	1
533	abahd	1
534	abandon	39
535	abat	1
536	abc	49
537	abcnew	3
538	abdallah	2
539	abdel	3
540	abdomin	2
541	abduct	2
542	abdul	16
543	abdullah	40
544	abdurahman	1
545	aberr	1
546	abhad	1
547	abhiyan	1
548	abhorr	2
549	abid	8
550	abidin	4
551	abidjan	36
552	abijan	1
553	abil	32
554	abl	105
555	ablaz	3
556	abnorm	1
557	aboard	93
558	abobo	3
559	abolish	4
560	abomin	1
561	abort	7
562	abou	1
563	abound	4
564	about	1
565	abovo	1
566	abraham	10
567	abreast	1
568	abrego	1
569	abroad	52
570	abrog	2
571	abrupt	1
572	abruptli	4
573	abscam	1
574	absenc	6
575	absent	4
576	absente	7
577	absentia	3
578	absolut	43
579	absorb	10
580	abstain	1
581	abstent	1
582	absurd	2
583	abu	7
584	abund	2
585	abus	29
586	abuzaakouk	1
587	abyan	5
588	abyssinian	1
589	academ	6
590	academi	4
591	academia	1
592	acced	1
593	acceler	4
594	accent	2
595	accentu	2
596	accept	124
597	access	41
598	accid	32
599	accident	3
600	accommod	11
601	accompani	33
602	accomplic	5
603	accomplish	10
604	accord	145
605	accordingli	1
606	accordion	1
607	account	125
608	accredit	1
609	accumul	2
610	accur	14
611	accuraci	1
612	accus	131
613	accustom	2
614	ace	27
615	acerb	2
616	achiev	32
617	acid	2
618	acknowledg	55
619	acolyt	1
620	acosta	1
621	acquaint	1
622	acquiesc	1
623	acquir	5
624	acquisit	1
625	acquit	5
626	acquitt	3
627	acr	1
628	acrimoni	2
629	acrobat	5
630	acronym	1
631	across	120
632	act	135
633	action	95
634	activ	90
635	activist	19
636	actor	4
637	actress	2
638	actual	66
639	ad	119
640	adam	8
641	adapt	5
642	add	18
643	adden	1
644	addit	74
645	address	64
646	adem	1
647	aden	169
648	adequ	7
649	adher	4
650	adiksa	1
651	adjac	4
652	adjam	2
653	adjoin	3
654	adjourn	3
655	adjust	7
656	adlai	1
657	adm	44
658	admen	1
659	administ	9
660	administr	115
661	admir	38
662	admiralti	1
663	admiringli	1
664	admiss	2
665	admit	40
666	ado	2
667	adob	1
668	adolesc	2
669	adopt	17
670	adorn	1
671	adoubi	1
672	adra	1
673	adrain	1
674	adrenalin	1
675	adriat	1
676	adrift	4
677	adult	10
678	advanc	66
679	advani	1
680	advantag	21
681	adventist	1
682	adventur	2
683	advers	2
684	adversari	2
685	advertis	12
686	advic	6
687	advis	84
688	advisor	10
689	advisori	2
690	advoc	13
691	advocaci	2
692	aegi	5
693	aerial	3
694	aeroflot	1
695	af	1
696	affabl	1
697	affair	48
698	affect	29
699	affection	1
700	affili	6
701	affirm	6
702	afflict	1
703	afford	7
704	affront	2
705	afghan	17
706	afghanistan	46
707	afi	2
708	afibia	1
709	afield	1
710	afir	2
711	afl	2
712	afloat	13
713	afoul	1
714	afraid	28
715	afredo	1
716	africa	65
717	african	49
718	aft	3
719	aftehock	1
720	aftermath	14
721	afternoon	64
722	aftershock	43
723	afterward	13
724	afundament	1
725	agarw	1
726	agassi	47
727	agbayani	1
728	age	42
729	agenc	117
730	agenda	14
731	agent	83
732	ager	8
733	agglomer	1
734	aggrav	12
735	aggress	24
736	agil	1
737	agit	1
738	ago	207
739	agon	6
740	agoni	3
741	agonizingli	1
742	agre	77
743	agreement	49
744	agricultur	15
745	agustin	1
746	ah	1
747	aha	1
748	ahead	53
749	ahemdabad	1
750	ahm	15
751	ahmad	1
752	ahmadabad	2
753	ahmar	1
754	ahmedabad	20
755	ahold	1
756	ahren	1
757	ai	1
758	aid	158
759	aida	2
760	ail	5
761	ailment	1
762	aim	35
763	ainst	1
764	air	175
765	aircraft	27
766	airdrop	2
767	airfield	1
768	airforc	1
769	airlift	4
770	airlin	6
771	airlock	1
772	airman	1
773	airmen	11
774	airplan	7
775	airport	49
776	airstrik	3
777	airtim	2
778	airwav	1
779	airway	3
780	aisl	3
781	aj	1
782	ajax	1
783	ajnar	3
784	ajw	1
785	akaka	2
786	akan	2
787	akin	3
788	akishio	1
789	akouedo	1
790	al	108
791	ala	5
792	alabama	5
793	alain	1
794	alami	1
795	alamoudi	1
796	alan	5
797	alarm	19
798	alasan	1
799	alaska	3
800	alaskan	1
801	alassan	27
802	albani	1
803	albania	1
804	albanian	18
805	albeit	4
806	albert	1
807	alberto	66
808	albright	47
809	album	1
810	alce	3
811	alcohol	5
812	alehandr	1
813	alejandro	14
814	aleksa	1
815	aleksandar	6
816	aler	1
817	alert	62
818	alessio	4
819	alex	10
820	alexa	2
821	alexand	9
822	alexandria	1
823	alexei	1
824	alexeyev	1
825	alexsand	1
826	alfonso	1
827	alfr	2
828	alfredo	1
829	algeria	3
830	algerian	5
831	ali	44
832	alia	2
833	alibi	1
834	alien	3
835	alight	1
836	align	5
837	alija	1
838	alik	9
839	alisan	2
840	alisha	1
841	aliv	84
842	allafrica	1
843	allah	1
844	allahabad	2
845	allahbad	1
846	allan	1
847	alleg	72
848	allegedli	23
849	allegi	1
850	allen	22
851	allentown	1
852	alley	2
853	alleyway	3
854	alli	86
855	allianc	10
856	alliz	1
857	allot	1
858	allow	133
859	allud	2
860	allus	5
861	alma	1
862	almagor	1
863	almost	118
864	alon	39
865	along	118
866	alongsid	39
867	alou	1
868	alpha	2
869	alphabet	3
870	alpin	1
871	alreadi	164
872	also	477
873	alter	8
874	altern	20
875	although	83
876	altitud	1
877	altogeth	4
878	aluminum	2
879	alun	6
880	alway	93
881	amad	3
882	amanda	17
883	amarillo	2
884	amartej	3
885	amaru	4
886	amass	4
887	amateur	2
888	amaz	10
889	amazingli	1
890	ambassador	47
891	ambersag	1
892	ambigu	1
893	ambit	8
894	ambiti	2
895	ambival	2
896	ambul	11
897	ambush	1
898	ameli	6
899	amend	2
900	amerasian	1
901	america	128
902	american	353
903	americorp	1
904	amh	1
905	ami	2
906	amiabl	2
907	amic	1
908	amid	51
909	amidship	2
910	amin	1
911	amit	1
912	amman	2
913	ammo	1
914	ammonium	1
915	ammunit	22
916	amnesia	2
917	amnesti	2
918	among	182
919	amongst	2
920	amount	30
921	amp	5
922	amphibi	3
923	ampl	2
924	ampli	1
925	amplifi	1
926	amput	12
927	ana	7
928	anacostia	1
929	analges	1
930	analog	1
931	analysi	9
932	analyst	38
933	analyz	5
934	anarch	2
935	anathema	1
936	anatoli	8
937	anca	4
938	ancestor	3
939	ancestr	25
940	ancestri	1
941	anchor	8
942	anchorag	2
943	anchorman	3
944	ancient	4
945	andean	6
946	anderson	4
947	andi	5
948	andjelkov	1
949	andoslavia	1
950	andr	48
951	andrea	14
952	andrei	2
953	andrew	15
954	andrik	1
955	anew	7
956	angel	13
957	anger	46
958	angl	12
959	anglican	1
960	angri	27
961	angrili	4
962	anguish	8
963	anim	2
964	animist	2
965	animos	11
966	anjana	1
967	anjar	6
968	anjay	1
969	ank	2
970	ankl	9
971	ann	11
972	anna	21
973	annabel	1
974	annacon	1
975	annan	13
976	anniversari	15
977	announc	164
978	annoy	2
979	annual	18
980	annul	11
981	anomali	1
982	anonym	63
983	anoth	263
984	answer	51
985	antagon	1
986	antasiaovich	1
987	antenna	2
988	anthem	6
989	anthoni	27
990	anthropologist	2
991	anti	85
992	antiballist	1
993	antibiot	5
994	anticip	17
995	anticlimact	1
996	antonia	6
997	antonin	1
998	antonio	26
999	anwar	4
1000	anxieti	3
1001	anxiou	11
1002	anxious	2
1003	anybodi	14
1004	anymor	9
1005	anyon	58
1006	anyth	94
1007	anytim	4
1008	anyway	13
1009	anywher	18
1010	aon	1
1011	ap	20
1012	apart	69
1013	ape	1
1014	apec	4
1015	apex	1
1016	apolit	1
1017	apolog	18
1018	appal	1
1019	appallingli	1
1020	appar	193
1021	apparatu	7
1022	appeal	95
1023	appear	196
1024	appel	1
1025	appetit	2
1026	appl	3
1027	applaud	10
1028	applaus	8
1029	appleton	2
1030	appli	18
1031	applic	16
1032	appoint	68
1033	appointe	3
1034	apprais	2
1035	appreci	16
1036	apprehend	4
1037	apprehens	2
1038	apprentic	3
1039	appris	1
1040	approach	49
1041	appropri	18
1042	approv	25
1043	approxim	12
1044	april	67
1045	aprista	4
1046	apron	1
1047	aquil	2
1048	ar	3
1049	arab	61
1050	arabi	1
1051	arabia	71
1052	arabian	44
1053	arafat	16
1054	arantxa	3
1055	arazi	7
1056	arbadi	1
1057	arbit	1
1058	arbitrari	2
1059	arbitrarili	1
1060	arc	1
1061	arch	2
1062	archaeolog	2
1063	archbishop	4
1064	archer	1
1065	archeri	4
1066	archetyp	1
1067	archi	5
1068	archibald	1
1069	architect	7
1070	architectur	4
1071	arctic	6
1072	ardent	4
1073	arduou	1
1074	are	2
1075	area	186
1076	aren	16
1077	arena	22
1078	aretz	1
1079	argentin	1
1080	argentina	10
1081	argu	45
1082	arguabl	2
1083	argument	18
1084	ari	1
1085	arid	5
1086	arif	1
1087	arisen	1
1088	arithmet	1
1089	aritomi	4
1090	ariz	8
1091	arizona	7
1092	ark	8
1093	arkadelphia	1
1094	arkan	1
1095	arkansa	28
1096	arkin	2
1097	arleigh	3
1098	arlen	2
1099	arlington	8
1100	arm	133
1101	armament	2
